method,route,source,symbol,auth_dependency_chain,authorization_evidence,expected_request,actual_request_declaration,expected_response_declaration,actual_return_expressions,consumer_candidates,service_db_calls,declared_error_paths,test_reference_candidates,production_readiness
POST,/api/v1/auth/refresh,app/api/api_v1/endpoints/auth.py:154,refresh_token,app.database.get_db,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": [{""name"": ""token_data"", ""type"": ""<class 'app.schemas.auth.RefreshToken'>"", ""required"": true}]}",<class 'app.schemas.auth.Token'>,"{'access_token': access_token, 'refresh_token': new_refresh_token, 'token_type': 'bearer'}",ios/LFAEducationCenter/Auth/AuthManager.swift; ios/LFAEducationCenter/Auth/AuthToken.swift,Depends; HTTPException; create_access_token; create_refresh_token; db.query; db.query(User).filter; db.query(User).filter(User.email == username).first; router.post; timedelta; verify_token,"HTTPException(status_code=status.HTTP_401_UNAUTHORIZED, detail='Invalid refresh token', headers={'WWW-Authenticate': 'Bearer'}) | HTTPException(status_code=status.HTTP_401_UNAUTHORIZED, detail='User not found') | HTTPException(status_code=400, detail='Inactive user')",tests/e2e/integration_critical/test_auth_lifecycle.py; tests/integration/api_smoke/test_auth_smoke.py; tests/security/sql_injection/test_authentication_sqli.py; tests/unit/contract/test_auth_contract.py; tests/unit/services/test_auth_endpoint.py,UNVERIFIED
POST,/api/v1/auth/logout,app/api/api_v1/endpoints/auth.py:197,logout,No declared auth dependency; public/manual guard requires review,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": []}",typing.Any,{'message': 'Successfully logged out'},UNVERIFIED — no exact literal match; dynamic URLs may exist,router.post,,tests/e2e/admin_ui/test_team_golden_flow.py; tests/e2e/admin_ui/test_admin_workflow_audit.py; tests/e2e/admin_ui/test_team_flow_e2e.py; tests/integration/api_smoke/test_auth_smoke.py; tests/security/csrf/test_csrf_tokens.py; tests/unit/services/test_action_determiner.py; tests/unit/services/test_auth_endpoint.py; tests/unit/api/web_routes/test_auth_web.py,UNVERIFIED
GET,/api/v1/auth/me,app/api/api_v1/endpoints/auth.py:205,read_users_me,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": []}",<class 'app.schemas.user.User'>,current_user,UNVERIFIED — no exact literal match; dynamic URLs may exist,Depends; router.get,,tests/unit/services/test_auth_endpoint.py,UNVERIFIED
POST,/api/v1/auth/change-password,app/api/api_v1/endpoints/auth.py:215,change_password,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": [{""name"": ""password_data"", ""type"": ""<class 'app.schemas.auth.ChangePassword'>"", ""required"": true}]}",typing.Any,{'message': 'Password updated successfully'},UNVERIFIED — no exact literal match; dynamic URLs may exist,Depends; HTTPException; db.commit; get_password_hash; router.post; verify_password,"HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail='Incorrect old password')",tests/integration/api_smoke/test_auth_smoke.py; tests/unit/services/test_auth_endpoint.py,UNVERIFIED
POST,/api/v1/auth/register-with-invitation,app/api/api_v1/endpoints/auth.py:257,register_with_invitation,app.database.get_db,invitation_code.can_be_used_by_email; validate_address; validate_name; validate_phone_number,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": [{""name"": ""registration_data"", ""type"": ""<class 'app.api.api_v1.endpoints.auth.RegisterWithInvitation'>"", ""required"": true}]}",<class 'app.schemas.auth.Token'>,"{'access_token': access_token, 'refresh_token': refresh_token, 'token_type': 'bearer'}",ios/LFAEducationCenter/Auth/AuthManager.swift; ios/LFAEducationCenter/Auth/RegisterView.swift; ios/LFAEducationCenter/Auth/AuthToken.swift,AuditService; CreditTransaction; Depends; HTTPException; User; audit_service.log; create_access_token; create_refresh_token; datetime.now; db.add; db.commit; db.flush; db.query; db.query(InvitationCode).filter; db.query(InvitationCode).filter(InvitationCode.code == registration_data.invitation_code.upper().strip()).first; db.query(User).filter; db.query(User).filter(User.email == registration_data.email).first; db.refresh; get_password_hash; invitation_code.can_be_used_by_email; invitation_code.is_valid; len; print; registration_data.invitation_code.upper; registration_data.invitation_code.upper().strip; router.post; timedelta; validate_address; validate_name; validate_phone_number,"HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail='Email already registered') | HTTPException(status_code=status.HTTP_404_NOT_FOUND, detail='Invalid invitation code') | HTTPException(status_code=status.HTTP_403_FORBIDDEN, detail=f'This invitation code is restricted to {invitation_code.invited_email}') | HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail='Password must be at least 6 characters long') | HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail=error) | HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail=error) | HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail=error) | HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail=error) | HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail=error) | HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail='This invitation code has already been used') | HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail='This invitation code has expired')",tests/integration/api_smoke/test_auth_smoke.py; tests/unit/services/test_auth_endpoint.py,UNVERIFIED
GET,/api/v1/users/me,app/api/api_v1/endpoints/users/profile.py:50,get_current_user_profile,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": []}",<class 'app.schemas.user.User'>,current_user,ios/LFAEducationCenter/Juggling/JugglingVideoItem.swift; ios/LFAEducationCenter/Juggling/JugglingPlayerView.swift; ios/LFAEducationCenter/Juggling/JugglingVideoListViewModel.swift; ios/LFAEducationCenter/App/WelcomeSuccessView.swift; ios/LFAEducationCenter/Auth/AcademyIDViewModel.swift; ios/LFAEducationCenter/Auth/AuthManager.swift; ios/LFAEducationCenter/Auth/AcademyIDColorViewModel.swift; ios/LFAEducationCenter/Training/BallTrainingAPIClient.swift; ios/LFAEducationCenter/Networking/APIClient.swift; ios/LFAEducationCenter/Models/UserProfile.swift; ios/LFAEducationCenter/Models/AcademyIDResponse.swift; ios/LFAEducationCenter/Models/CreditTransaction.swift; ios/LFAEducationCenter/Models/AcademyIDColorTheme.swift; ios/LFAEducationCenter/Dashboard/DashboardViewModel.swift; ios/LFAEducationCenter/Biometric/BiometricService.swift; ios/LFAEducationCenter/Profile/ProfilePhotoUploadViewModel.swift; ios/LFAEducationCenter/Credits/CreditsView.swift; ios/LFAEducationCenter/Credits/CreditsViewModel.swift; ios/LFAEducationCenter/Juggling/Annotation/ContactTaxonomyStore.swift; ios/LFAEducationCenter/Juggling/Annotation/JugglingAnnotationAPIClient.swift; ios/LFAEducationCenter/Juggling/Annotation/AnnotationVideoLoader.swift,"Depends; UserLicense.id.asc; UserLicense.is_active.desc; db.query; db.query(UserLicense).filter; db.query(UserLicense).filter(UserLicense.user_id == current_user.id).order_by; db.query(UserLicense).filter(UserLicense.user_id == current_user.id).order_by(UserLicense.is_active.desc(), UserLicense.id.asc()).all; router.get",,tests/integration/api_smoke/test_users_smoke.py,UNVERIFIED
PATCH,/api/v1/users/me,app/api/api_v1/endpoints/users/profile.py:71,update_own_profile,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,validate_email_unique,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": [{""name"": ""user_update"", ""type"": ""<class 'app.schemas.user.UserUpdateSelf'>"", ""required"": true}]}",<class 'app.schemas.user.User'>,user_data,ios/LFAEducationCenter/Juggling/JugglingVideoItem.swift; ios/LFAEducationCenter/Juggling/JugglingPlayerView.swift; ios/LFAEducationCenter/Juggling/JugglingVideoListViewModel.swift; ios/LFAEducationCenter/App/WelcomeSuccessView.swift; ios/LFAEducationCenter/Auth/AcademyIDViewModel.swift; ios/LFAEducationCenter/Auth/AuthManager.swift; ios/LFAEducationCenter/Auth/AcademyIDColorViewModel.swift; ios/LFAEducationCenter/Training/BallTrainingAPIClient.swift; ios/LFAEducationCenter/Networking/APIClient.swift; ios/LFAEducationCenter/Models/UserProfile.swift; ios/LFAEducationCenter/Models/AcademyIDResponse.swift; ios/LFAEducationCenter/Models/CreditTransaction.swift; ios/LFAEducationCenter/Models/AcademyIDColorTheme.swift; ios/LFAEducationCenter/Dashboard/DashboardViewModel.swift; ios/LFAEducationCenter/Biometric/BiometricService.swift; ios/LFAEducationCenter/Profile/ProfilePhotoUploadViewModel.swift; ios/LFAEducationCenter/Credits/CreditsView.swift; ios/LFAEducationCenter/Credits/CreditsViewModel.swift; ios/LFAEducationCenter/Juggling/Annotation/ContactTaxonomyStore.swift; ios/LFAEducationCenter/Juggling/Annotation/JugglingAnnotationAPIClient.swift; ios/LFAEducationCenter/Juggling/Annotation/AnnotationVideoLoader.swift,Depends; HTTPException; current_user.__dict__.copy; datetime.now; db.commit; db.refresh; isinstance; json.dumps; router.patch; setattr; update_data.get; update_data.items; user_data.get; user_update.model_dump; validate_email_unique,"HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail='A vészhelyzeti telefonszám nem lehet ugyanaz, mint a saját telefonszámod') | HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail='User with this email already exists')",tests/integration/api_smoke/test_users_smoke.py,UNVERIFIED
POST,/api/v1/users/{user_id:int}/reset-password,app/api/api_v1/endpoints/users/profile.py:123,reset_user_password,app.database.get_db; app.dependencies.get_current_admin_user; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [{""name"": ""user_id"", ""type"": ""<class 'int'>"", ""required"": true}], ""query"": [], ""body"": [{""name"": ""password_data"", ""type"": ""<class 'app.schemas.auth.ResetPassword'>"", ""required"": true}]}",typing.Any,{'message': 'Password reset successfully'},UNVERIFIED — no exact literal match; dynamic URLs may exist,Depends; HTTPException; db.commit; db.query; db.query(User).filter; db.query(User).filter(User.id == user_id).first; get_password_hash; router.post,"HTTPException(status_code=status.HTTP_404_NOT_FOUND, detail='User not found')",tests/integration/api_smoke/test_users_smoke.py,UNVERIFIED
GET,/api/v1/users/check-nickname/{nickname},app/api/api_v1/endpoints/users/profile.py:146,check_nickname_availability,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,validate_nickname,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [{""name"": ""nickname"", ""type"": ""<class 'str'>"", ""required"": true}], ""query"": [], ""body"": []}",typing.Any,"{'available': is_valid, 'message': message}",UNVERIFIED — no exact literal match; dynamic URLs may exist,Depends; router.get; validate_nickname,,tests/integration/api_smoke/test_users_smoke.py,UNVERIFIED
POST,/api/v1/users/me/profile-photo,app/api/api_v1/endpoints/users/profile.py:165,upload_profile_photo,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": [{""name"": ""photo"", ""type"": ""<class 'fastapi.datastructures.UploadFile'>"", ""required"": true}]}",typing.Any,"{'profile_photo_url': updated.profile_photo_url, 'status': updated.profile_photo_status}",ios/LFAEducationCenter/Auth/AuthManager.swift; ios/LFAEducationCenter/Networking/APIClient.swift; ios/LFAEducationCenter/Profile/ProfilePhotoUploadViewModel.swift,Depends; File; HTTPException; background_tasks.add_task; db.commit; db.refresh; db.rollback; photo.read; router.post; save_profile_photo; str; trigger_bg_removal,"HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail=str(exc))",UNVERIFIED — no exact symbol match,UNVERIFIED
GET,/api/v1/users/me/profile-photo/status,app/api/api_v1/endpoints/users/profile.py:205,get_profile_photo_status,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": []}",typing.Any,"{'status': current_user.profile_photo_status or STATUS_NONE, 'profile_photo_url': current_user.profile_photo_url, 'profile_photo_processed_url': current_user.profile_photo_processed_url}",UNVERIFIED — no exact literal match; dynamic URLs may exist,Depends; router.get,,UNVERIFIED — no exact symbol match,UNVERIFIED
DELETE,/api/v1/users/me/profile-photo,app/api/api_v1/endpoints/users/profile.py:223,delete_current_profile_photo,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": []}",None,,ios/LFAEducationCenter/Auth/AuthManager.swift; ios/LFAEducationCenter/Networking/APIClient.swift; ios/LFAEducationCenter/Profile/ProfilePhotoUploadViewModel.swift,Depends; db.commit; delete_profile_photo; router.delete,,UNVERIFIED — no exact symbol match,UNVERIFIED
GET,/api/v1/users/me/academy-id,app/api/api_v1/endpoints/users/profile.py:239,get_academy_id,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": []}",typing.Any,"{'lfa_academy_id': current_user.lfa_academy_id, 'public_token': token, 'qr_url': qr_url, 'qr_data': qr_data, 'active_color_id': active_color}",ios/LFAEducationCenter/Auth/AcademyIDViewModel.swift; ios/LFAEducationCenter/Auth/AcademyIDColorViewModel.swift; ios/LFAEducationCenter/Models/AcademyIDResponse.swift; ios/LFAEducationCenter/Models/AcademyIDColorTheme.swift,"Depends; assign_lfa_academy_id; db.commit; db.query; db.query(UserLicense).filter; db.query(UserLicense).filter(UserLicense.user_id == current_user.id, UserLicense.specialization_type == 'LFA_FOOTBALL_PLAYER').first; db.refresh; ensure_public_token; get_active_color_id; router.get; str",,tests/unit/api/endpoints/test_academy_id_colors.py,UNVERIFIED
GET,/api/v1/users/me/academy-id/colors,app/api/api_v1/endpoints/users/profile.py:315,get_academy_id_colors,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,_require_lfa_license,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": []}",typing.Any,"{'active_color_id': active_color, 'colors': get_all_colors_with_ownership(db, current_user.id)}",ios/LFAEducationCenter/Auth/AcademyIDColorViewModel.swift; ios/LFAEducationCenter/Models/AcademyIDColorTheme.swift,Depends; _require_lfa_license; get_active_color_id; get_all_colors_with_ownership; router.get,,tests/unit/api/endpoints/test_academy_id_colors.py,UNVERIFIED
POST,/api/v1/users/me/academy-id/colors/select,app/api/api_v1/endpoints/users/profile.py:340,select_academy_id_color,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,_require_lfa_license,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": [{""name"": ""payload"", ""type"": ""<class 'app.api.api_v1.endpoints.users.profile._ColorSelectRequest'>"", ""required"": true}]}",typing.Any,"{'ok': True, 'active_color_id': new_color}",ios/LFAEducationCenter/Auth/AcademyIDColorViewModel.swift,"', '.join; Depends; HTTPException; _require_lfa_license; get_color_by_id; is_color_accessible; is_valid_color; router.post; set_active_color","HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail=f'Unknown Academy ID colour: {payload.color_id!r}. Valid options: {valid_ids}.') | HTTPException(status_code=status.HTTP_403_FORBIDDEN, detail={'code': 'color_not_owned', 'color_id': payload.color_id, 'credit_cost': color.credit_cost if color else 0})",tests/unit/api/endpoints/test_academy_id_colors.py,UNVERIFIED
